Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
Sr. Director of Development and Manufacturing,,
Head - GenAI/ML Solutions,,
Senior Media Strategist,,
Quality Head ( QA/QC/RA ),,
Head of Business Development and Toll Manufacturing,,
"Assistant, Head of Analytical Pharma R and D",,
"Senior Director, Cmc Product Development and Ctm Manufacturing",,
Quality Manufacturing System Manager,,
Asia IT Manager,,
Head of Quality Management and Compliance,,
Cpa & Financial Professional,,
"Head Senior Director, Computational Chemistry & Informatics",,
Head of Software Engineering,,
Chief Business Officer,,
Lehrbeauftragter Digitale GeschÃ¤ftsprozesse,,
"Manager, Test Operations",,
"Manager, Product Development, Research Development & Quality",,
"Manager, Operations Excellence Maintenance & Manager, Facility",,
Vice President Nonclinical R and D,,
Business Development and Financial Controller,,
Commercial Operation Director,,
Vice President Finance and Information Technology,,
Director Operations North,,
"Senior Manager, Production Operations",,
"Manager, Software Quality Engineering",,
Third Party Manufacturing Manager,,
"Associate Director, Production",,
Head of Operations and Transformation,,
"Director Operations, Assurance and Governance, Positive Action",,
Director Information Technology Workforce Productivity Services (Global Endpoint Management and Mobility),,
Head of Engineering Asia,,
Director Operations North East and North West,,
Head of Manufacturing Engineering Medical Electronics,,
Senior Director IT Infrastructure and Operations,,
Manufacturing Superintendent,,
"Manager, Manufacturing Operations",,
Senior Improvement Engineer,,
Associate Director of Operations,,
SHEQ Officer,,
Head of Infrastructure and Operations,,
Senior Quality Assurance and RA Consulant (Medical Device),,
Global E-Mobility Quality Management System Specialist,,
Head of Operational Risk & Business Continuity Management,,
Downstream Team Leader,,
"Senior Manager, Reimbursement & Health Policy (US)",,
"Director, Patient Safety",,
"Vice President Clinical, Quality and Regulatory Affairs",,
Management Rotational Program Senior Associate,,
"Director, Compliance & Legal",,
Mountain Mud Service and Supply,,
"Anti-Money Laundering List Screening Applications Senior Manager, Product Management",,
"Sr. Manager, Medical Affairs",,
"Product Manager, Quality",,
Group Product Manager,,
Manager I.T Compliance,,
Associate Vice President-Procurement,,
Senior Manager Technology Transfer/Process Engineering,,
Senior Manager IT,,
IT Business Systems Manager,,
Trial Monitor,,
Senior Clinical Trials Auditor,,
Senior Manager Engineering,,
Deputy Manager Quality Assurance,,
"Vice President, Commercial Operations",,
"Manager Administration, Databases",,
"Quality Compliance, Data Integrity Specialist",,
"Vice President, New Technology and Process Development",,
CEO/ Owner,,
Member,,
Head of QC Support Operations,,
Head of Operational Excellence and Transformation,,
Head of Strategic Operations and Communications,,
Director COO,,
Shipping and Recieving,,
Founder & Quality Principal & Consultant,,
Senior Director Manufacturing,,
Commercial Director Operations,,
"Technology Head, Commercial, Operations and Digital Transformation",,
"IT Director, Enterprise Services and Architecture",,
Director Quality Operation Consumer Health,,
"Global Head, Process Engineering (Recombinant and Gene Therapy Products)",,
Research,,
"Director, IT Infrastructure",,
"Manager, Accreditation Oversight",,
"Senior Manager, Financial Reporting",,
Ict System Engineer (Cloud Security),,
Manufacturing and Quality Head,,
Junior Quality Assurance Specialist,,
Sample Coordinator,,
Metrologist- QC,,
Project Manager II,,
Process Plant Manager,,
"Manager, Value Stream",,
Commercial Diver,,
Precision health advisor at the Institutional Mother-Child Biobank,,
Lifecycle Manager,,
Data Engineering Lead,,
Medical operation,,
Head of Information Technology and Learning,,
"Operations Director, Agile",,
People & Culture Lead,,
Senior Project HSE Advisor,,
The Private Equity Team Partner,,
Private Equity Associate,,
Quality Leade,,
Regional Quality Manager North America,,
FSQ Corporate Lab Programs Manager,,
"Director, Quality & Compliance",,
Associate Director of Research & Development,,
"Director, Client",,
"Director, Product Innovation",,
"Executive Director, Information Security",,
Quality and Environmental Manager,,
Senior Global Project Manager,,
Director ERP,,
Reliability/Mechanical/Rotating Equipment/Metallurgical Lab Specialist,,
Superintendent Pharmacist and Head of Regulatory,,
Forensic Laboratory Supervisor,,
"Manager, Technical Operations Contracts & Compliance",,
"Director, Biometrics",,
Director | Founder,,
Optimisation Manufacturing & Logistics Coordinator,,
Software Quality Analyst,,
Transfusion Medicine Services QA Specialist,,
"Regional Manager, Operations Support",,
"Manager, Quality Process Food, Pharma & Automotive",,
Assembler IV,,
Manager Materiovigilance,,
Rentals Technology & Prototype Engineer,,
Corporate Automation Manager,,
"Change Management Manager, Digital Transformation",,
"Clinical QA, Head (APAC)",,
"Manager, Clinical Research",,
Asst. Manager Global Quality,,
Quality Project Lead & Senior Responsible Person,,
Computational Biologist,,
Strategy and Value Creation Consultant,,
Agente De Recherche,,
Technical Product Manager,,
"Business Development Product Quality & Innovation Segment Senior Director, Strategy",,
Senior Director IT-Supply Chain Digital Transformation Lead,,
Senior Counsel,,
Junior Mechanical Engineer,,
VP Quality Assurance,,
Director Sterile Operations,,
"Director, Software Engineering",,
"General Manager, Warehousing & Logistics",,
Senior Microbiology and Virology Analyst,,
Controls Software & Electrical Maintenance Engineer,,
Research and Development I Quality I Regulatory,,
Founder/Owner,,
Fleet Manager,,
Directrice qualitÃ©,,
Development Scientist,,
Strategic Business Administrator,,
Senior Director-Site Quality Head,,
Assistant Manager IT OPCO,,
Quality Compliance Audits Specialist III,,
"Associate Director, Global Engineering C and Q",,
Global Quality Engineering C and Q Manager,,
Quality Assurance and RA Senior Consultant (Medical Devices),,
Senior Manager of Facilities,,
Validation Specialist and Project Coordinator,,
"Director, Quality Management Systems",,
Vice President Quality Head of Quality,,
Director Product/R and D Quality,,
Independent System Monitoring Head,,
Technical Quality Lead,,
"Manager, Sourcing",,
Head of Audit Affairs Regulatory Compliance Department,,
"Global Director, Business & Product Management",,
"Senior Manager, IT QA",,
Technical Sales Enablement Manager,,
"Care Quality, Governance and Compliance Director",,
Head of Clinical Quality,,
Area Quality Director,,
"Executive Director, Research Protections",,
"Vice President, Portfolio Engagement Information Technology & Project Management Office",,
"Manager, Quality Assurance & Technology Support",,
"Director, Research",,
Research & Policy Officer,,
Cbo,,
QC Chemist,,
"Manager, Digital Innovation",,
Manufacturing Process Improvement Specialist,,
"Assistant Director, Engineering",,
QHSE Specialist,,
Account Director,,
UK Sales Director,,
Care Management Consultant,,
Quality Control Engineer,,
New Technology Section Head,,
"Vice President, Growth",,
"Vice President, Quality (North America)",,
"Manager, Quality Assurance & Ra Systems",,
"Program Manager, Quality",,
Head of IT and Digital,,
"Director Operations, ANI",,
"Technical Director Operations, AbbVie Operations Singapore",,
Head of RDC Operations,,
"Director, Strategy and Transformation",,
Compliance and Quality Manager,,
Equipment Maintenance Technician,,
Senior Quality Chemist II,,
Manager-QA/RA,,
"Manager I, Technical Support",,
Director of Quality Management,,
Manufacturing Department Manager,,
"Senior Director, Manufacturing",,
"Director, Pharmacy Operations",,
Head of Software Quality,,
"Manager, Software Quality",,
Project Controller,,
Group Software Strategy Senior Associate,,
"Group Manager, Health & Safety",,
Senior Specialist,,
"Global Head, Information Technology",,
Director SCM Master Data and Process,,
CMC Consultant,,
Hod,,
"Director, HACCP & Quality Assurance",,
"Director, Information Technology Compounding & Pharmacy",,
Senior Pharmacy Technician,,
"Director, Quality Assurance & Ra",,
Client Marketing Director,,
"Alliance Manager, Business Operations",,
"Manager, Quality Control Research & Development",,
Quality Improvement Specialist,,
Shift Supervisor,,
IT Executive Director,,
"Manager, Salesforce",,
Senior Operations Quality Specialist,,
"Supervisor, Document Control",,
"Director, Operations Quality, Pharmaceutical Solutions & Services",,
User Experience Design Specialist,,
"Director, Safety & Regulatory Affairs",,
PCB & Components Supplier Quality Engineer,,
"Vice President, Operations & General Counsel",,
"Manager, Regulatory Intelligence",,
SUP,,
Operational Vice President and Site Leader,,
"Director, Enterprise Quality Management & Performance",,
"Sr.  Director QMS, Education, Training  & Document Control",,
Bank Pharmacy QA,,
"IT QA For Medical Device, , Microsoft 365 Software Developer",,
Associate Director- Quality,,
"Director of Research, Development and Engineering",,
President & Board Member & Co-Founder,,
Intermediate USA Research and Development Alphagary,,
Senior Research & Development Engineer,,
DC Manager,,
Projection Lead,,
Staff Advanced Manufacturing Engineer,,
Intern - Project Manager,,
"Senior Business Development Manager, Healthcare Payer Market",,
Digital Strategy & Ai Senior Advisor,,
Quality Assurance Person and Head of Quality,,
Independent Consultant,,
Director of Plasma Science and Fusion Center,,
"Director, Operations Access to Medicines",,
Head of Operations and Testing,,
Founder & Owner,,
"IT Director, APAC",,
Manufacturing Intelligence Senior Enterprise Account Executive,,
MasterControl Software/System Administrator,,
"Manager, Production Planning",,
"Manager, Facility Planning",,
"Manager, Product Development & Pharmacist",,
Head of IT Quality Systems and Validation,,
Samodzielny Referent Naukowo-Techniczny,,
"Executive VP, Corporate Communications",,
"Vice President, Advisory Services",,
Information Technology Site Lead,,
IT Service Operation and Security Manager,,
QA-Exceutive Manager,,
"Head of Department, Quality Management",,
QSE Manager,,
Manager Direct Procurement,,
IT Manager Operations,,
Coordonateur QualitÃ©,,
"Director, BatchConsultant",,
"Manager, Programme (Information Technology, Infrastructure & Enterprise)",,
"Global Director, Industry Manufacturing",,
"Associate Department Manager (Small Scale, Mammalian Manufacturing)",,
Head of Procurement,,
Product Development Senior Manager,,
Supervisor Direct Operational Procurement,,
Product Innovation and Analytical Method Development Senior Manager,,
Product Owner,,
Quality Regulatory Specialist,,
Global Product Manager,,
Country IT Head,,
"Director of Professional Services, SMB",,
HR & Operations Compliance Manager,,
QA Document Control Staff,,
Associate Director of QC,,
QC Senior Director,,
QC Associate Director,,
Executive Director Quality Assurance,,
Voor Lola-Projectvlm In Opdracht Van Ordina Software Analyst,,
Senior Manager - Digital Advisory,,
Advanced Refining Chemist,,
Analyst - Corporate Strategy & Business Development,,
Operations Lead & Administrative Assistant,,
"Senior Manager, Quality & Compliance",,
"Manager, Facilities & Equipment",,
"Vice President, Food Safety & Quality Assurance",,
"Director, Global Production Operations",,
"Manager, Plant Planning",,
Head of Pharmaceutical Quality Assurance & Quality Control,,
Production Planning Manager,,
"Senior Director, Manufacturing Strategy",,
"Global Quality-Compliance,Integration and Lab Harmonization",,
Deputy to the QA Director - QMS,,
QA & Manufacturing Engineering Manager,,
Manufacturing Plant Manager,,
"Senior Director, Production",,
"Senior Director, R and D",,
"Director, Commercial Operations",,
"Senior Director, QA",,
"Executive Director, Research and Development",,
Process Lead,,
"Senior Director, Research and Development",,
Sr. Process Engineer,,
"Manager, Patient Engagement",,
IT-konsult,,
"Manager, Technical Operations Advanced Proteins",,
Plant Head,,
Coordinador De Documentacion,,
IT Risk Management and Security Associate Director,,
Head of Department,,
"CEO, Biomanufacturing BU",,
Integration Developer,,
APAC IT Director,,
Group Director Operations,,
"Associate Director, Regulatory Affairs",,
QM Expert,,
Engineering and Maintenance Manager,,
Director of Product Development,,
Global QHSE Manager,,
Manager Engineering,,
Manager-Product Development Group,,
Manager IT,,
Manager-Quality IT,,
Head of Strategic Operation Group,,
"Senior Manager, Analytical Development",,
QA Document Control Specialist,,
"Director, Information Technology and Property. Company Secretary.",,
Head Of Remuneration & People Systems,,
Head of Manufacturing Science and Technology,,
Associate Director: Site Monitoring and Clinical Operations,,
Head of Operational Excellence and Digitalisation,,
